Attendance,AVGCapcity,Month,Year,Gross,Performances,Type,Theatre
51690,75.46153846,8.538461538,2013,1940459,66,Musical,Circle In The Square
672139,84.95862069,6.862068966,2006.144828,45625516,1136,Musical,Circle In The Square
268017,83.25423729,7.118644068,2000.830508,13431400,437,Musical,Circle In The Square
58276,43.88888889,10.33333333,2015.111111,3616869,67,Special,Lyric
66710,97.875,2.25,2009,6723050,46,Special,Cort
37143,54,2.818181818,2002,1715877,65,Special,Booth
12229,84.5,3,1997,563627,16,Special,Lyceum
6866,79.5,8.125,2004,287897,30,Special,Lyceum
31431,84.8,9.8,2008.2,3059851,22,Special,Palace
29519,67.2,9.8,1999.2,2549836,20,Special,Palace
8780,75,1,2015,819461,7,Special,Palace
7896,35.33333333,3.333333333,1994,160000,19,Special,Belasco
444,261,10.66666667,1998,11623,3,Special,Belasco
9934,97.5,3,2011,1021880,10,Special,Belasco
17344,61.5,10.5,1998,726465,28,Special,Belasco
24766,65,10.75,1998,1331285,23,Special,Marquis
24979,76.5,9.25,2010.25,2843463,20,Special,Marquis
110679,54.8125,5.8125,1998,3333238,126,Special,Marquis
9241,96,11,2013,1308223,6,Special,Marquis
64567,82.33333333,7.5,2015,7820655,41,Special,Marquis
30406,78.66666667,1.333333333,2009,1225360,21,Special,Marquis
76365,87.83333333,10,2014.166667,8157068,45,Special,Marquis
92789,66.5,7.2,2008,5166140,70,Special,Broadway
11401,93,10,2012,1404082,7,Special,Broadway
11336,84,2,1997,358316,7,Special,Gershwin
9160,71,8,2012,1204618,10,Special,Longacre
12034,40,5,2003,533861,16,Special,Virginia
13721,72.33333333,2.333333333,2012,914006,17,Special,Music Box
48350,51.42857143,7.857142857,2013,2535797,46,Special,St. James
35432,81.16666667,2,2013,4160716,25,Special,St. James
17835,92,1,1998,989597,12,Special,St. James
1684,25,6,1995,27020,3,Special,Ambassador
93407,100.4,10.3,2011.1,14634985,61,Special,Broadhurst
11060,100,8,1998,774652,10,Special,Broadhurst
8271,36,11,1995,84362,6,Special,Neil Simon
20625,95.33333333,7.333333333,2010,2620770,15,Special,Neil Simon
64713,72.28571429,10.14285714,2015.142857,6785761,64,Special,Neil Simon
17093,69.8,9.8,2008.2,1435574,35,Special,Helen Hayes
100217,97.8,12,1996,6033691,55,Special,Martin Beck
4047,44,11,1997,97542,7,Special,Martin Beck
49419,66.6,8,2013,3041368,73,Special,Walter Kerr
240163,77.02380952,6.904761905,1997.333333,10539175,332,Special,Walter Kerr
1872,52,10,1995,83374,0,Special,Walter Kerr
12745,82.5,5,1997,677313,6,Special,New Amsterdam
44657,76.85714286,10.14285714,1998.142857,1686553,49,Special,Brooks Atkinson
41613,62.77777778,8.111111111,2011.333333,3740974,57,Special,Ethel Barrymore
11120,100.5,10,2012,997676,8,Special,Richard Rodgers
18432,92,4.333333333,2013,2245793,14,Special,Richard Rodgers
10298,82,3.5,2004,438437,7,Special,Vivian Beaumont
28176,85.66666667,5.222222222,2001.944444,1202305,26,Special,Vivian Beaumont
18091,91.45454545,9.636363636,1996.181818,410047,17,Special,Vivian Beaumont
6914,84,5,2005,280480,8,Special,Vivian Beaumont
17160,83.5,11,2000,628230,11,Special,Vivian Beaumont
15504,74.63636364,9.454545455,1999.181818,504719,12,Special,Vivian Beaumont
14257,79.64285714,4,2003,330477,15,Special,American Airlines
